kab_kota,tahun,bulan,TB_SO,TB_RO,total_TB,proporsi_RO,bulan_num,date
Kab. Bandung,2020,Januari,937.0,1.0,938.0,0.0010660980810234541,1,2020-01-01
Kab. Bandung,2020,Februari,704.0,3.0,707.0,0.004243281471004243,2,2020-02-01
Kab. Bandung,2020,Maret,737.0,2.0,739.0,0.0027063599458728013,3,2020-03-01
Kab. Bandung,2020,April,431.0,1.0,432.0,0.0023148148148148147,4,2020-04-01
Kab. Bandung,2020,Mei,364.0,0.0,364.0,0.0,5,2020-05-01
Kab. Bandung,2020,Juni,529.0,1.0,530.0,0.0018867924528301887,6,2020-06-01
Kab. Bandung,2020,Juli,594.0,7.0,601.0,0.011647254575707155,7,2020-07-01
Kab. Bandung,2020,Agustus,438.0,4.0,442.0,0.00904977375565611,8,2020-08-01
Kab. Bandung,2020,September,548.0,2.0,550.0,0.0036363636363636364,9,2020-09-01
Kab. Bandung,2020,Oktober,522.0,5.0,527.0,0.009487666034155597,10,2020-10-01
Kab. Bandung,2020,November,454.0,6.0,460.0,0.013043478260869565,11,2020-11-01
Kab. Bandung,2020,Desember,398.0,3.0,401.0,0.007481296758104738,12,2020-12-01
Kab. Bandung Barat,2020,Januari,256.0,1.0,257.0,0.0038910505836575876,1,2020-01-01
Kab. Bandung Barat,2020,Februari,228.0,3.0,231.0,0.012987012987012988,2,2020-02-01
Kab. Bandung Barat,2020,Maret,183.0,3.0,186.0,0.016129032258064516,3,2020-03-01
Kab. Bandung Barat,2020,April,83.0,0.0,83.0,0.0,4,2020-04-01
Kab. Bandung Barat,2020,Mei,54.0,1.0,55.0,0.01818181818181818,5,2020-05-01
Kab. Bandung Barat,2020,Juni,150.0,2.0,152.0,0.013157894736842105,6,2020-06-01
Kab. Bandung Barat,2020,Juli,142.0,3.0,145.0,0.020689655172413793,7,2020-07-01
Kab. Bandung Barat,2020,Agustus,118.0,2.0,120.0,0.016666666666666666,8,2020-08-01
Kab. Bandung Barat,2020,September,129.0,3.0,132.0,0.022727272727272728,9,2020-09-01
Kab. Bandung Barat,2020,Oktober,127.0,4.0,131.0,0.030534351145038167,10,2020-10-01
Kab. Bandung Barat,2020,November,112.0,1.0,113.0,0.008849557522123894,11,2020-11-01
Kab. Bandung Barat,2020,Desember,107.0,3.0,110.0,0.02727272727272727,12,2020-12-01
Kab. Bekasi,2020,Januari,728.0,2.0,730.0,0.0027397260273972603,1,2020-01-01
Kab. Bekasi,2020,Februari,582.0,1.0,583.0,0.0017152658662092624,2,2020-02-01
Kab. Bekasi,2020,Maret,585.0,2.0,587.0,0.0034071550255536627,3,2020-03-01
Kab. Bekasi,2020,April,364.0,2.0,366.0,0.00546448087431694,4,2020-04-01
Kab. Bekasi,2020,Mei,253.0,0.0,253.0,0.0,5,2020-05-01
Kab. Bekasi,2020,Juni,405.0,3.0,408.0,0.007352941176470588,6,2020-06-01
Kab. Bekasi,2020,Juli,360.0,4.0,364.0,0.01098901098901099,7,2020-07-01
Kab. Bekasi,2020,Agustus,381.0,1.0,382.0,0.002617801047120419,8,2020-08-01
Kab. Bekasi,2020,September,353.0,2.0,355.0,0.005633802816901409,9,2020-09-01
Kab. Bekasi,2020,Oktober,340.0,1.0,341.0,0.002932551319648094,10,2020-10-01
Kab. Bekasi,2020,November,422.0,1.0,423.0,0.002364066193853428,11,2020-11-01
Kab. Bekasi,2020,Desember,295.0,2.0,297.0,0.006734006734006734,12,2020-12-01
Kab. Bogor,2020,Januari,1603.0,60.0,1663.0,0.03607937462417318,1,2020-01-01
Kab. Bogor,2020,Februari,1469.0,56.0,1525.0,0.036721311475409836,2,2020-02-01
Kab. Bogor,2020,Maret,1319.0,63.0,1382.0,0.045586107091172216,3,2020-03-01
Kab. Bogor,2020,April,891.0,33.0,924.0,0.03571428571428571,4,2020-04-01
Kab. Bogor,2020,Mei,709.0,18.0,727.0,0.024759284731774415,5,2020-05-01
Kab. Bogor,2020,Juni,1101.0,36.0,1137.0,0.0316622691292876,6,2020-06-01
Kab. Bogor,2020,Juli,1260.0,43.0,1303.0,0.03300076745970836,7,2020-07-01
Kab. Bogor,2020,Agustus,1072.0,41.0,1113.0,0.036837376460017966,8,2020-08-01
Kab. Bogor,2020,September,964.0,36.0,1000.0,0.036,9,2020-09-01
Kab. Bogor,2020,Oktober,822.0,32.0,854.0,0.03747072599531616,10,2020-10-01
Kab. Bogor,2020,November,875.0,43.0,918.0,0.046840958605664486,11,2020-11-01
Kab. Bogor,2020,Desember,727.0,30.0,757.0,0.03963011889035667,12,2020-12-01
Kab. Ciamis,2020,Januari,207.0,1.0,208.0,0.004807692307692308,1,2020-01-01
Kab. Ciamis,2020,Februari,166.0,3.0,169.0,0.01775147928994083,2,2020-02-01
Kab. Ciamis,2020,Maret,181.0,2.0,183.0,0.01092896174863388,3,2020-03-01
Kab. Ciamis,2020,April,122.0,0.0,122.0,0.0,4,2020-04-01
Kab. Ciamis,2020,Mei,82.0,0.0,82.0,0.0,5,2020-05-01
Kab. Ciamis,2020,Juni,155.0,1.0,156.0,0.00641025641025641,6,2020-06-01
Kab. Ciamis,2020,Juli,130.0,3.0,133.0,0.022556390977443608,7,2020-07-01
Kab. Ciamis,2020,Agustus,119.0,1.0,120.0,0.008333333333333333,8,2020-08-01
Kab. Ciamis,2020,September,144.0,0.0,144.0,0.0,9,2020-09-01
Kab. Ciamis,2020,Oktober,99.0,1.0,100.0,0.01,10,2020-10-01
Kab. Ciamis,2020,November,121.0,5.0,126.0,0.03968253968253968,11,2020-11-01
Kab. Ciamis,2020,Desember,119.0,0.0,119.0,0.0,12,2020-12-01
Kab. Cianjur,2020,Januari,652.0,17.0,669.0,0.025411061285500747,1,2020-01-01
Kab. Cianjur,2020,Februari,583.0,15.0,598.0,0.02508361204013378,2,2020-02-01
Kab. Cianjur,2020,Maret,569.0,13.0,582.0,0.022336769759450172,3,2020-03-01
